 ,X,Y
1,856.333,381.333
2,855.000,406.667
3,837.667,390.667
4,804.333,412.000
5,828.333,421.333
6,809.667,437.333
7,828.333,444.000
8,817.667,464.000
9,797.667,453.333
10,775.000,441.333
11,789.667,432.000
12,776.333,464.000
13,788.333,498.667
14,845.667,458.667
15,872.333,436.000
16,869.667,414.667
17,889.667,406.667
18,885.667,389.333
19,897.667,372.000
20,916.333,385.333
21,912.333,354.667
22,936.333,353.333
23,948.333,376.000
24,961.667,357.333
25,967.000,333.333
26,945.667,333.333
27,957.667,312.000
28,977.667,310.667
29,984.333,352.000
30,995.000,373.333
31,1012.333,360.000
32,1011.000,340.000
33,1001.667,316.000
34,1016.333,302.667
35,1036.333,310.667
36,1029.667,330.667
37,1056.333,305.333
38,1049.667,348.000
39,1071.000,349.333
40,1059.000,370.667
41,1071.000,393.333
42,1033.667,405.333
43,983.000,396.000
44,1033.667,384.000
45,1032.333,358.667
46,971.000,418.667
47,996.333,417.333
48,1016.333,425.333
49,1028.333,448.000
50,928.333,414.667
51,923.000,436.000
52,951.000,413.333
53,944.333,452.000
54,893.667,436.000
55,907.000,418.667
56,897.667,454.667
57,883.000,470.667
58,867.000,454.667
59,849.667,425.333
60,963.000,440.000
61,984.333,438.667
62,979.000,470.667
63,999.000,468.000
64,935.000,469.333
65,925.667,486.667
66,911.000,474.667
67,872.333,490.667
68,861.667,474.667
69,856.333,502.667
70,835.000,500.000
71,815.000,504.000
72,808.333,485.333
73,832.333,474.667
74,847.000,486.667
75,895.000,509.333
76,916.333,512.000
77,857.667,529.333
78,836.333,524.000
79,815.000,541.333
80,793.667,529.333
81,776.333,516.000
82,761.667,564.000
83,743.000,544.000
84,767.000,544.000
85,784.333,570.667
86,804.333,561.333
87,709.667,520.000
88,716.333,490.667
89,740.333,490.667
90,763.000,482.667
91,887.000,538.667
92,908.333,534.667
93,869.667,550.667
94,851.000,561.333
95,844.333,582.667
96,808.333,593.333
97,829.667,590.667
98,788.333,593.333
99,765.667,604.000
100,749.667,581.333
101,732.333,596.000
102,709.667,600.000
103,723.000,620.000
104,736.333,638.667
105,713.667,649.333
106,700.333,670.667
107,703.000,689.333
108,721.667,680.000
109,716.333,706.667
110,736.333,693.333
111,753.667,677.333
112,768.333,652.000
113,792.333,648.000
114,773.667,630.667
115,751.000,622.667
116,803.000,630.667
117,821.667,630.667
118,827.000,612.000
119,848.333,604.000
120,869.667,598.667
121,891.000,610.667
122,859.000,642.667
123,801.667,673.333
124,779.000,674.667
125,831.000,661.333
126,880.333,636.000
127,873.667,649.333
128,915.000,637.333
129,925.667,573.333
130,948.333,581.333
131,971.000,581.333
132,953.667,553.333
133,929.667,550.667
134,905.667,560.000
